"tokenId","sender","price","timestamp"
"OTK099-275","terra1uapre2zk2npnrhnhpxrn6v0x4sn7kylu3yn3yu","7.5uusd","2022-04-22T01:59:14Z"
"OTK140-64","terra1xhpny0s0rvz36n7unwj5nctq25g0d82qvjrck2","20uusd","2022-04-22T01:14:30Z"
"OTK139-107","terra1xhpny0s0rvz36n7unwj5nctq25g0d82qvjrck2","18uusd","2022-04-22T01:13:17Z"
"OTK063-73","terra1uy3yqel8rg7ysnytza7sq9ausvl9ch54qtnytn","50uusd","2022-04-22T00:54:05Z"
"OTK119-317","terra1as8j8qhexvsc3sy0gxrfajuuggwar45chfhqwn","6.69uusd","2022-04-21T22:37:06Z"
"OTK118-431","terra1as8j8qhexvsc3sy0gxrfajuuggwar45chfhqwn","7.5uusd","2022-04-21T22:36:26Z"
"OTK108-151","terra1as8j8qhexvsc3sy0gxrfajuuggwar45chfhqwn","6uusd","2022-04-21T22:33:03Z"
"OTK158-229","terra1as8j8qhexvsc3sy0gxrfajuuggwar45chfhqwn","8uusd","2022-04-21T22:32:36Z"
"OTK112-359","terra1as8j8qhexvsc3sy0gxrfajuuggwar45chfhqwn","7.5uusd","2022-04-21T22:29:47Z"
"OTK097-119","terra1as8j8qhexvsc3sy0gxrfajuuggwar45chfhqwn","7.5uusd","2022-04-21T22:29:35Z"
"OTK099-20","terra1as8j8qhexvsc3sy0gxrfajuuggwar45chfhqwn","7uusd","2022-04-21T22:29:22Z"
"OTK120-103","terra1as8j8qhexvsc3sy0gxrfajuuggwar45chfhqwn","9uusd","2022-04-21T22:28:56Z"
"OTK121-353","terra1as8j8qhexvsc3sy0gxrfajuuggwar45chfhqwn","8uusd","2022-04-21T22:27:58Z"
"OTK071-17","terra1e6gwlmccanjue9zdeys9hhytwgwh9d52kpe2th","30uusd","2022-04-21T22:27:38Z"
"OTK077-95","terra1e6gwlmccanjue9zdeys9hhytwgwh9d52kpe2th","25uusd","2022-04-21T22:27:14Z"
"OTK089-96","terra1e6gwlmccanjue9zdeys9hhytwgwh9d52kpe2th","25uusd","2022-04-21T22:26:29Z"
"OTK083-102","terra1e6gwlmccanjue9zdeys9hhytwgwh9d52kpe2th","14uusd","2022-04-21T22:25:50Z"
"OTK073-163","terra1e6gwlmccanjue9zdeys9hhytwgwh9d52kpe2th","20uusd","2022-04-21T22:25:05Z"
"OTK140-30","terra1e6gwlmccanjue9zdeys9hhytwgwh9d52kpe2th","19uusd","2022-04-21T22:24:18Z"
"OTK068-3","terra1e6gwlmccanjue9zdeys9hhytwgwh9d52kpe2th","36uusd","2022-04-21T22:23:50Z"
"OTK140-8","terra1e6gwlmccanjue9zdeys9hhytwgwh9d52kpe2th","18uusd","2022-04-21T22:23:30Z"
"OTK091-36","terra1e6gwlmccanjue9zdeys9hhytwgwh9d52kpe2th","17uusd","2022-04-21T22:22:57Z"
"OTK079-16","terra1e6gwlmccanjue9zdeys9hhytwgwh9d52kpe2th","15uusd","2022-04-21T22:22:37Z"
"OTK155-352","terra1e6gwlmccanjue9zdeys9hhytwgwh9d52kpe2th","15uusd","2022-04-21T22:22:04Z"
"OTK095-205","terra1e6gwlmccanjue9zdeys9hhytwgwh9d52kpe2th","10uusd","2022-04-21T22:21:45Z"
"OTK093-344","terra1e6gwlmccanjue9zdeys9hhytwgwh9d52kpe2th","5uusd","2022-04-21T22:21:26Z"
"OTK107-107","terra1e6gwlmccanjue9zdeys9hhytwgwh9d52kpe2th","12.77uusd","2022-04-21T22:20:46Z"
"OTK109-11","terra1e6gwlmccanjue9zdeys9hhytwgwh9d52kpe2th","6uusd","2022-04-21T22:20:26Z"
"OTK164-45","terra1e6gwlmccanjue9zdeys9hhytwgwh9d52kpe2th","9.9uusd","2022-04-21T22:20:05Z"
"OTK162-103","terra1e6gwlmccanjue9zdeys9hhytwgwh9d52kpe2th","8.75uusd","2022-04-21T22:19:46Z"
"OTK034-47","terra1l6jfdnldswq9kvwn2wwj9st0c70t0m6lzfraal","75uusd","2022-04-21T22:19:00Z"
"OTK094-371","terra1e6gwlmccanjue9zdeys9hhytwgwh9d52kpe2th","8uusd","2022-04-21T22:19:00Z"
"OTK040-3","terra1eps6km2s7uvpgegjwu2qc4xttphhsecdsd87ry","65uusd","2022-04-21T22:19:00Z"
"OTK111-292","terra1e6gwlmccanjue9zdeys9hhytwgwh9d52kpe2th","7uusd","2022-04-21T22:18:47Z"
"OTK157-310","terra1e6gwlmccanjue9zdeys9hhytwgwh9d52kpe2th","8uusd","2022-04-21T22:18:28Z"
"OTK119-431","terra1e6gwlmccanjue9zdeys9hhytwgwh9d52kpe2th","5.5uusd","2022-04-21T22:18:07Z"
"OTK101-11","terra1e6gwlmccanjue9zdeys9hhytwgwh9d52kpe2th","7uusd","2022-04-21T22:17:38Z"
"OTK153-291","terra1e6gwlmccanjue9zdeys9hhytwgwh9d52kpe2th","14uusd","2022-04-21T22:17:11Z"
"OTK114-136","terra1e6gwlmccanjue9zdeys9hhytwgwh9d52kpe2th","9.99uusd","2022-04-21T22:16:26Z"
"OTK156-130","terra1e6gwlmccanjue9zdeys9hhytwgwh9d52kpe2th","8.6uusd","2022-04-21T22:15:54Z"
"OTK116-352","terra1e6gwlmccanjue9zdeys9hhytwgwh9d52kpe2th","7uusd","2022-04-21T22:15:15Z"
"OTK115-222","terra1e6gwlmccanjue9zdeys9hhytwgwh9d52kpe2th","8uusd","2022-04-21T22:14:49Z"
"OTK163-242","terra1e6gwlmccanjue9zdeys9hhytwgwh9d52kpe2th","13.69uusd","2022-04-21T22:14:29Z"
"OTK118-463","terra1e6gwlmccanjue9zdeys9hhytwgwh9d52kpe2th","9uusd","2022-04-21T22:14:10Z"
"OTK105-40","terra1e6gwlmccanjue9zdeys9hhytwgwh9d52kpe2th","6uusd","2022-04-21T22:13:50Z"
"OTK161-199","terra1e6gwlmccanjue9zdeys9hhytwgwh9d52kpe2th","14.99uusd","2022-04-21T22:13:29Z"
"OTK151-327","terra1e6gwlmccanjue9zdeys9hhytwgwh9d52kpe2th","8uusd","2022-04-21T22:13:09Z"
"OTK102-461","terra1e6gwlmccanjue9zdeys9hhytwgwh9d52kpe2th","6.85uusd","2022-04-21T22:12:30Z"
"OTK152-317","terra1e6gwlmccanjue9zdeys9hhytwgwh9d52kpe2th","10.69uusd","2022-04-21T22:12:10Z"
"OTK150-135","terra1e6gwlmccanjue9zdeys9hhytwgwh9d52kpe2th","8.5uusd","2022-04-21T22:11:50Z"
"OTK098-51","terra1e6gwlmccanjue9zdeys9hhytwgwh9d52kpe2th","6uusd","2022-04-21T22:11:31Z"
"OTK117-359","terra1e6gwlmccanjue9zdeys9hhytwgwh9d52kpe2th","5uusd","2022-04-21T22:08:48Z"
"OTK108-322","terra1e6gwlmccanjue9zdeys9hhytwgwh9d52kpe2th","5.99uusd","2022-04-21T22:08:28Z"
"OTK158-129","terra1e6gwlmccanjue9zdeys9hhytwgwh9d52kpe2th","9uusd","2022-04-21T22:06:35Z"
"OTK096-275","terra1e6gwlmccanjue9zdeys9hhytwgwh9d52kpe2th","7.5uusd","2022-04-21T22:06:16Z"
"OTK113-119","terra1e6gwlmccanjue9zdeys9hhytwgwh9d52kpe2th","7uusd","2022-04-21T22:05:55Z"
"OTK104-322","terra1e6gwlmccanjue9zdeys9hhytwgwh9d52kpe2th","6.9uusd","2022-04-21T22:05:36Z"
"OTK156-343","terra1eps6km2s7uvpgegjwu2qc4xttphhsecdsd87ry","8uusd","2022-04-21T22:05:23Z"
"OTK103-309","terra1e6gwlmccanjue9zdeys9hhytwgwh9d52kpe2th","6uusd","2022-04-21T22:05:16Z"
"OTK110-261","terra1e6gwlmccanjue9zdeys9hhytwgwh9d52kpe2th","10uusd","2022-04-21T22:04:55Z"
"OTK159-250","terra1e6gwlmccanjue9zdeys9hhytwgwh9d52kpe2th","9.69uusd","2022-04-21T22:04:35Z"
"OTK112-371","terra1e6gwlmccanjue9zdeys9hhytwgwh9d52kpe2th","6uusd","2022-04-21T22:04:16Z"
"OTK097-351","terra1e6gwlmccanjue9zdeys9hhytwgwh9d52kpe2th","7uusd","2022-04-21T22:03:56Z"
"OTK099-351","terra1e6gwlmccanjue9zdeys9hhytwgwh9d52kpe2th","6uusd","2022-04-21T22:03:37Z"
"OTK092-422","terra1e6gwlmccanjue9zdeys9hhytwgwh9d52kpe2th","10uusd","2022-04-21T22:02:55Z"
"OTK120-295","terra1e6gwlmccanjue9zdeys9hhytwgwh9d52kpe2th","5uusd","2022-04-21T22:02:28Z"
"OTK120-326","terra1e6gwlmccanjue9zdeys9hhytwgwh9d52kpe2th","4.69uusd","2022-04-21T22:01:22Z"
"OTK122-82","terra1e6gwlmccanjue9zdeys9hhytwgwh9d52kpe2th","14uusd","2022-04-21T22:00:58Z"
"OTK122-18","terra1e6gwlmccanjue9zdeys9hhytwgwh9d52kpe2th","10uusd","2022-04-21T22:00:16Z"
"OTK160-232","terra1e6gwlmccanjue9zdeys9hhytwgwh9d52kpe2th","14uusd","2022-04-21T21:59:49Z"
"OTK121-208","terra1e6gwlmccanjue9zdeys9hhytwgwh9d52kpe2th","7uusd","2022-04-21T21:59:29Z"
"OTK100-20","terra1e6gwlmccanjue9zdeys9hhytwgwh9d52kpe2th","4uusd","2022-04-21T21:59:01Z"
"OTK106-209","terra1e6gwlmccanjue9zdeys9hhytwgwh9d52kpe2th","5uusd","2022-04-21T21:57:18Z"
"OTK154-207","terra1e6gwlmccanjue9zdeys9hhytwgwh9d52kpe2th","8uusd","2022-04-21T21:56:52Z"
"OTK093-326","terra1quth6563wpu5sqvu4zl64m53wkgnq35t49ra9f","5uusd","2022-04-21T21:48:24Z"
"OTK159-273","terra1quth6563wpu5sqvu4zl64m53wkgnq35t49ra9f","9.42uusd","2022-04-21T21:44:46Z"
"OTK077-17","terra104qj7xf5rjjnthugmqkgxuv3xz7dvf64c38wdv","20uusd","2022-04-21T20:58:36Z"
"OTK078-114","terra104qj7xf5rjjnthugmqkgxuv3xz7dvf64c38wdv","24uusd","2022-04-21T20:56:55Z"
